id|text|experiencer|emotion|target|cause|selected
7d3fe468|Cops in One Village Have Been Convicted of 70 Crimes. Here’s What They Had to Say About It.|"[""cops""]"|anger|"[[""cops in one village have been convicted of 70 crimes""]]"|"[[""cops in one village have been convicted of 70 crimes""]]"|True
86693d59|DIY penis enlargements are a 'nationwide problem' in Papua New Guinea|"[""papua new guinea""]"|surprise|"[[""diy penis enlargements are a 'nationwide problem'""]]"|"[[""diy penis enlargements are a 'nationwide problem'""]]"|True
0fb40e90|Dam breaking: New Epstein accuser comes forward|[]|anger|"[[""new epstein accuser comes forward""]]"|"[[""new epstein accuser comes forward""]]"|True
fa7750d6|David Beckham gets six-month driving ban for using phone at wheel|"[""david beckham""]"|surprise|"[[""driving ban""]]"|"[[""gets six-month driving ban for using phone at wheel""]]"|True
695ea7a2|Dead sea turtle found with spear through head in Florida national park|"[""florida national park""]"|sadness|"[[""dead sea turtle found with spear through head in florida national park""]]"|"[[""dead sea turtle found with spear through head in florida national park""]]"|True
40d09915|Democrats defend Congresswomen Trump says should “go back” to their “corrupt” countries|"[""democrats""]"|disgust|"[[""trump""]]"|"[[""go back” to their “corrupt” countries""]]"|True
06baecb6|Detention centres 'will shock the conscience of this country'|"[""detention centres""]"|surprise|"[[""'will shock the conscience of this country'""]]"|"[[""'will shock the conscience of this country'""]]"|True
6aa1523d|Don McGahn fires back at Donald Trump|"[""don mcgahn""]"|surprise|"[[""don mcgahn"",""donald trump""]]"|"[[""donald trump""]]"|True
e3cffb3b|"Donald Trump even has lies hiding in the underpants of the secret service | First Dog on the Moon"|"[""donald trump""]"|surprise|[[]]|"[[""even has lies hiding in the underpants of the secret service""]]"|True
adaf8300|Donald Trump has crazed meltdown in White House driveway|"[""donald trump""]"|surprise|[[]]|"[[""has crazed meltdown in white house driveway""]]"|True
22697e7a|Donald Trump’s ‘bizarre’ questions on George Washington tour|[]|disgust|"[[""george washington""]]"|"[[""george washington tour""]]"|True
6c6290d6|Donations to Charities Drop After Trump Tax Law|[]|surprise|"[[""trump""]]"|"[[""trump tax law""]]"|True
